epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1113.41,0.86709,0.39217,1.0394,0.97146,0.95435,0.97288,0.60953,1.34803,0.50686,1.39384,8.48946e-05,8.48946e-05,8.48946e-05
91,1127.67,0.86365,0.36577,1.07812,0.97324,0.95282,0.97296,0.60672,1.34843,0.5111,1.40324,7.7826e-05,7.7826e-05,7.7826e-05
92,1139.61,0.84683,0.3545,1.07023,0.97291,0.9531,0.97197,0.60802,1.35212,0.51102,1.39643,7.07574e-05,7.07574e-05,7.07574e-05
93,1151.79,0.83208,0.34907,1.05491,0.97361,0.95347,0.97272,0.60809,1.34364,0.50775,1.39272,6.36888e-05,6.36888e-05,6.36888e-05
94,1163.72,0.82933,0.34559,1.05494,0.97201,0.95128,0.97447,0.61321,1.33853,0.50671,1.39688,5.66202e-05,5.66202e-05,5.66202e-05
95,1175.57,0.81851,0.34264,1.05769,0.96158,0.95773,0.97319,0.60914,1.34119,0.51301,1.39926,4.95516e-05,4.95516e-05,4.95516e-05
96,1187.56,0.81759,0.34254,1.05205,0.96041,0.95916,0.97302,0.61278,1.34164,0.51015,1.39678,4.2483e-05,4.2483e-05,4.2483e-05
97,1199.32,0.81199,0.34123,1.04469,0.96116,0.96095,0.97378,0.61212,1.34134,0.51332,1.40068,3.54144e-05,3.54144e-05,3.54144e-05
98,1211.5,0.80676,0.34118,1.05411,0.97265,0.94842,0.97298,0.60933,1.34314,0.51208,1.40415,2.83458e-05,2.83458e-05,2.83458e-05
99,1223.53,0.80681,0.34526,1.04808,0.9642,0.95706,0.97299,0.61115,1.34391,0.51502,1.40287,2.12772e-05,2.12772e-05,2.12772e-05
100,1235.41,0.78467,0.32776,1.03777,0.96496,0.95671,0.97274,0.60853,1.34419,0.51531,1.40495,1.42086e-05,1.42086e-05,1.42086e-05
